,Ambientes,Antigüedad,Baños,Bodegas,Camas,Cocheras,Departamentos por piso,Disposición,Dormitorios,Estadía mínima (noches),Expensas,Huéspedes,Orientación,Piso (unidad),Pisos,Superficie cubierta,Superficie total,Tipo de departamento,address,price
282,1,25 años,1,,,,4,Contrafrente,1,,,,Norte,3,6,38,40,,Dr. Quirno Costa 1282,12000
283,3,,1,,,,,Frente,2,,,,,,,50,50,,Blanco Encalada Al 2600,30000
284,1,,1,,,,,,,,,,,,,35,35,Departamento,Juncal  Al 1600,28000
285,2,0 años,1,,,,4,Frente,1,,,,Oeste,5,10,43,43,,Parana 433,12000
286,1,,1,,,,,,,,,,,,,28,28,,Luis Maria Campos 1200,11000
287,3,20 años,1,,,,2,Contrafrente,2,,,,Norte,5,9,58,58,,Yerbal 41,14500
288,3,25 años,1,,,,3,Contrafrente,2,,1700,,Este,,7,45,45,Departamento,Corrientes 5943,13500
289,1,,1,,,,,,1,,,,,,,34,34,,Sarmiento 2234,8300
290,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 23,8400
291,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 83,8700
292,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
293,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
294,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
295,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
296,2,,1,,,,,,1,,,,,,,30,30,,Republica De La India 2900,500
297,3,40 años,3,,,,,Contrafrente,2,,8000,,,,,90,268,Departamento,Uruguay Al 1200,45000
298,4,20 años,2,,,1,,Contrafrente,3,,12000,,Este,,1,145,157,,"Godoy Cruz 3000, Piso 1",2800
299,4,40 años,2,,,1,,,2,,5600,,,,1,,,,Castex Al 3400,1300
300,3,0 años,1,,,,,,2,,5000,,,,,85,85,Departamento,Malabia Al 2200,23000
301,3,,1,,,,,Lateral,2,,,,,,,58,61,,"Agüero Al 1200, Entre Paraguay Y Mansilla",38000
302,3,,1,,,,,Frente,2,,,,,,,51,61,,"Beauchef Al 300, Entre Guayaquil Y Formosa",30000
303,2,6 años,1,,,,2,Frente,1,,,,Este,4,5,39,41,,Bonpland 2000,14000
304,2,,2,,,,,Frente,,,,,,,,70,70,,Tucuman 700 3° Entre Esmeralda Y Maipu,1000
305,3,40 años,1,,,,,Contrafrente,2,,2700,,,,,58,66,Departamento,Achával Al 200,17000
306,4,70 años,2,1,,,2,Frente,2,,,,Este,3,7,94,118,,Lima 707,23000
307,4,38 años,2,,,1,,Frente,2,,11800,,Este,,1,85,90,,Coronel Diaz 2000,27000
308,2,,1,,,,,Frente,1,,,,,,,40,44,,Pacheco De Melo  2900 6° Entre Billinghurst Y Sanchez De Bustamante,25000
309,2,0 años,1,,,,,,1,,3300,,,,,50,53,Departamento,Reconquista Al 1000,16900
310,4,,1,,,,,,2,,,,,,,90,90,,Rondeau 2300,19800
311,2,,1,,,1,,Frente,1,,,,,,,52,52,,Anchorena Al 1400 3° Entre  Arenales Y Santa Fe Av.,24000
312,2,,1,,,,,,1,,,,,,,38,42,,Aguirre 600,16000
313,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
314,2,,1,,,,,Frente,1,,,,,,,40,43,,Austria Al 2100 8,28000
315,2,,1,,,,,Frente,1,,,,,,,58,62,,"Maure Al 2800, Entre Cramer Y Conesa",30000
316,2,,1,,,,,Frente,1,,,,,,,40,50,,Humahuaca 3500 8° Entre Sanchez De Bustamante Y  Billinghurst,24000
317,3,,2,,4,,,Frente,2,30,,4,,,,65,70,,Demaria 4500,1800
318,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
319,3,,1,,,,,,2,,,,,,,60,60,Departamento,Tte Juan D Perón Al 4200,1100
320,2,,1,,,,,,1,,,,,,,38,38,,San Martin  3800,10900
321,2,,1,,,,,,1,,,3,,,,28,28,,Potosi 3966,900
322,3,0 años,1,,,,,Frente,,,5000,,Este,,,,,,"Formosa  Entre Viel Y Campos, Gaspar",20000
323,3,,2,,,1,,,3,,,,,,,78,85,,Manuel Ugarte 2709,25000
324,2,,1,,,1,,,1,,,,,,,48,82,,Naon 3237,17900
325,1,0 años,1,1,,,5,Contrafrente,1,,,,Este,5,5,23,23,,Carlos A. Lopez 2247,12800
326,3,,2,,,,,,1,,,,,,,65,65,,Peron 2300,17000
327,3,,2,,,,,,2,,,4,,,,55,55,,Charcas 3800,40000
328,2,0 años,2,,,1,1,Contrafrente,1,,,,,,,535,855,,Naon 3237,19800
329,2,,1,,,,,,1,,,,,,,35,35,Departamento,Juncal Al 1800,24000
330,1,25 años,1,,,,4,Contrafrente,1,,,,Norte,3,6,38,40,,Dr. Quirno Costa 1282,12000
331,3,,1,,,,,Frente,2,,,,,,,50,50,,Blanco Encalada Al 2600,30000
332,1,,1,,,,,,,,,,,,,35,35,Departamento,Juncal  Al 1600,28000
333,2,0 años,1,,,,4,Frente,1,,,,Oeste,5,10,43,43,,Parana 433,12000
334,1,,1,,,,,,,,,,,,,28,28,,Luis Maria Campos 1200,11000
335,3,20 años,1,,,,2,Contrafrente,2,,,,Norte,5,9,58,58,,Yerbal 41,14500
336,3,25 años,1,,,,3,Contrafrente,2,,1700,,Este,,7,45,45,Departamento,Corrientes 5943,13500
337,1,,1,,,,,,1,,,,,,,34,34,,Sarmiento 2234,8300
338,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 23,8400
339,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 83,8700
340,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
341,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
342,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
343,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
344,2,,1,,,,,,1,,,,,,,30,30,,Republica De La India 2900,500
345,3,40 años,3,,,,,Contrafrente,2,,8000,,,,,90,268,Departamento,Uruguay Al 1200,45000
346,4,20 años,2,,,1,,Contrafrente,3,,12000,,Este,,1,145,157,,"Godoy Cruz 3000, Piso 1",2800
347,4,40 años,2,,,1,,,2,,5600,,,,1,,,,Castex Al 3400,1300
348,3,0 años,1,,,,,,2,,5000,,,,,85,85,Departamento,Malabia Al 2200,23000
349,3,,1,,,,,Lateral,2,,,,,,,58,61,,"Agüero Al 1200, Entre Paraguay Y Mansilla",38000
350,3,,1,,,,,Frente,2,,,,,,,51,61,,"Beauchef Al 300, Entre Guayaquil Y Formosa",30000
351,2,6 años,1,,,,2,Frente,1,,,,Este,4,5,39,41,,Bonpland 2000,14000
352,2,,2,,,,,Frente,,,,,,,,70,70,,Tucuman 700 3° Entre Esmeralda Y Maipu,1000
353,3,40 años,1,,,,,Contrafrente,2,,2700,,,,,58,66,Departamento,Achával Al 200,17000
354,4,70 años,2,1,,,2,Frente,2,,,,Este,3,7,94,118,,Lima 707,23000
355,4,38 años,2,,,1,,Frente,2,,11800,,Este,,1,85,90,,Coronel Diaz 2000,27000
356,2,,1,,,,,Frente,1,,,,,,,40,44,,Pacheco De Melo  2900 6° Entre Billinghurst Y Sanchez De Bustamante,25000
357,2,0 años,1,,,,,,1,,3300,,,,,50,53,Departamento,Reconquista Al 1000,16900
358,4,,1,,,,,,2,,,,,,,90,90,,Rondeau 2300,19800
359,2,,1,,,1,,Frente,1,,,,,,,52,52,,Anchorena Al 1400 3° Entre  Arenales Y Santa Fe Av.,24000
360,2,,1,,,,,,1,,,,,,,38,42,,Aguirre 600,16000
361,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
362,2,,1,,,,,Frente,1,,,,,,,40,43,,Austria Al 2100 8,28000
363,2,,1,,,,,Frente,1,,,,,,,58,62,,"Maure Al 2800, Entre Cramer Y Conesa",30000
364,2,,1,,,,,Frente,1,,,,,,,40,50,,Humahuaca 3500 8° Entre Sanchez De Bustamante Y  Billinghurst,24000
365,3,,2,,4,,,Frente,2,30,,4,,,,65,70,,Demaria 4500,1800
366,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
367,3,,1,,,,,,2,,,,,,,60,60,Departamento,Tte Juan D Perón Al 4200,1100
368,2,,1,,,,,,1,,,,,,,38,38,,San Martin  3800,10900
369,2,,1,,,,,,1,,,3,,,,28,28,,Potosi 3966,900
370,3,0 años,1,,,,,Frente,,,5000,,Este,,,,,,"Formosa  Entre Viel Y Campos, Gaspar",20000
371,3,,2,,,1,,,3,,,,,,,78,85,,Manuel Ugarte 2709,25000
372,2,,1,,,1,,,1,,,,,,,48,82,,Naon 3237,17900
373,1,0 años,1,1,,,5,Contrafrente,1,,,,Este,5,5,23,23,,Carlos A. Lopez 2247,12800
374,3,,2,,,,,,1,,,,,,,65,65,,Peron 2300,17000
375,3,,2,,,,,,2,,,4,,,,55,55,,Charcas 3800,40000
376,2,0 años,2,,,1,1,Contrafrente,1,,,,,,,535,855,,Naon 3237,19800
377,2,,1,,,,,,1,,,,,,,35,35,Departamento,Juncal Al 1800,24000
378,1,25 años,1,,,,4,Contrafrente,1,,,,Norte,3,6,38,40,,Dr. Quirno Costa 1282,12000
379,3,,1,,,,,Frente,2,,,,,,,50,50,,Blanco Encalada Al 2600,30000
380,1,,1,,,,,,,,,,,,,35,35,Departamento,Juncal  Al 1600,28000
381,2,0 años,1,,,,4,Frente,1,,,,Oeste,5,10,43,43,,Parana 433,12000
382,1,,1,,,,,,,,,,,,,28,28,,Luis Maria Campos 1200,11000
383,3,20 años,1,,,,2,Contrafrente,2,,,,Norte,5,9,58,58,,Yerbal 41,14500
384,3,25 años,1,,,,3,Contrafrente,2,,1700,,Este,,7,45,45,Departamento,Corrientes 5943,13500
385,1,,1,,,,,,1,,,,,,,34,34,,Sarmiento 2234,8300
386,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 23,8400
387,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 83,8700
388,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
389,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
390,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
391,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
392,2,,1,,,,,,1,,,,,,,30,30,,Republica De La India 2900,500
393,3,40 años,3,,,,,Contrafrente,2,,8000,,,,,90,268,Departamento,Uruguay Al 1200,45000
394,4,20 años,2,,,1,,Contrafrente,3,,12000,,Este,,1,145,157,,"Godoy Cruz 3000, Piso 1",2800
395,4,40 años,2,,,1,,,2,,5600,,,,1,,,,Castex Al 3400,1300
396,3,0 años,1,,,,,,2,,5000,,,,,85,85,Departamento,Malabia Al 2200,23000
397,3,,1,,,,,Lateral,2,,,,,,,58,61,,"Agüero Al 1200, Entre Paraguay Y Mansilla",38000
398,3,,1,,,,,Frente,2,,,,,,,51,61,,"Beauchef Al 300, Entre Guayaquil Y Formosa",30000
399,2,6 años,1,,,,2,Frente,1,,,,Este,4,5,39,41,,Bonpland 2000,14000
400,2,,2,,,,,Frente,,,,,,,,70,70,,Tucuman 700 3° Entre Esmeralda Y Maipu,1000
401,3,40 años,1,,,,,Contrafrente,2,,2700,,,,,58,66,Departamento,Achával Al 200,17000
402,4,70 años,2,1,,,2,Frente,2,,,,Este,3,7,94,118,,Lima 707,23000
403,4,38 años,2,,,1,,Frente,2,,11800,,Este,,1,85,90,,Coronel Diaz 2000,27000
404,2,,1,,,,,Frente,1,,,,,,,40,44,,Pacheco De Melo  2900 6° Entre Billinghurst Y Sanchez De Bustamante,25000
405,2,0 años,1,,,,,,1,,3300,,,,,50,53,Departamento,Reconquista Al 1000,16900
406,4,,1,,,,,,2,,,,,,,90,90,,Rondeau 2300,19800
407,2,,1,,,1,,Frente,1,,,,,,,52,52,,Anchorena Al 1400 3° Entre  Arenales Y Santa Fe Av.,24000
408,2,,1,,,,,,1,,,,,,,38,42,,Aguirre 600,16000
409,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
410,2,,1,,,,,Frente,1,,,,,,,40,43,,Austria Al 2100 8,28000
411,2,,1,,,,,Frente,1,,,,,,,58,62,,"Maure Al 2800, Entre Cramer Y Conesa",30000
412,2,,1,,,,,Frente,1,,,,,,,40,50,,Humahuaca 3500 8° Entre Sanchez De Bustamante Y  Billinghurst,24000
413,3,,2,,4,,,Frente,2,30,,4,,,,65,70,,Demaria 4500,1800
414,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
415,3,,1,,,,,,2,,,,,,,60,60,Departamento,Tte Juan D Perón Al 4200,1100
416,2,,1,,,,,,1,,,,,,,38,38,,San Martin  3800,10900
417,2,,1,,,,,,1,,,3,,,,28,28,,Potosi 3966,900
418,3,0 años,1,,,,,Frente,,,5000,,Este,,,,,,"Formosa  Entre Viel Y Campos, Gaspar",20000
419,3,,2,,,1,,,3,,,,,,,78,85,,Manuel Ugarte 2709,25000
420,2,,1,,,1,,,1,,,,,,,48,82,,Naon 3237,17900
421,1,0 años,1,1,,,5,Contrafrente,1,,,,Este,5,5,23,23,,Carlos A. Lopez 2247,12800
422,3,,2,,,,,,1,,,,,,,65,65,,Peron 2300,17000
423,3,,2,,,,,,2,,,4,,,,55,55,,Charcas 3800,40000
424,2,0 años,2,,,1,1,Contrafrente,1,,,,,,,535,855,,Naon 3237,19800
425,2,,1,,,,,,1,,,,,,,35,35,Departamento,Juncal Al 1800,24000
426,1,25 años,1,,,,4,Contrafrente,1,,,,Norte,3,6,38,40,,Dr. Quirno Costa 1282,12000
427,3,,1,,,,,Frente,2,,,,,,,50,50,,Blanco Encalada Al 2600,30000
428,1,,1,,,,,,,,,,,,,35,35,Departamento,Juncal  Al 1600,28000
429,2,0 años,1,,,,4,Frente,1,,,,Oeste,5,10,43,43,,Parana 433,12000
430,1,,1,,,,,,,,,,,,,28,28,,Luis Maria Campos 1200,11000
431,3,20 años,1,,,,2,Contrafrente,2,,,,Norte,5,9,58,58,,Yerbal 41,14500
432,3,25 años,1,,,,3,Contrafrente,2,,1700,,Este,,7,45,45,Departamento,Corrientes 5943,13500
433,1,,1,,,,,,1,,,,,,,34,34,,Sarmiento 2234,8300
434,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 23,8400
435,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 83,8700
436,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
437,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
438,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
439,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
440,2,,1,,,,,,1,,,,,,,30,30,,Republica De La India 2900,500
441,3,40 años,3,,,,,Contrafrente,2,,8000,,,,,90,268,Departamento,Uruguay Al 1200,45000
442,4,20 años,2,,,1,,Contrafrente,3,,12000,,Este,,1,145,157,,"Godoy Cruz 3000, Piso 1",2800
443,4,40 años,2,,,1,,,2,,5600,,,,1,,,,Castex Al 3400,1300
444,3,0 años,1,,,,,,2,,5000,,,,,85,85,Departamento,Malabia Al 2200,23000
445,3,,1,,,,,Lateral,2,,,,,,,58,61,,"Agüero Al 1200, Entre Paraguay Y Mansilla",38000
446,3,,1,,,,,Frente,2,,,,,,,51,61,,"Beauchef Al 300, Entre Guayaquil Y Formosa",30000
447,2,6 años,1,,,,2,Frente,1,,,,Este,4,5,39,41,,Bonpland 2000,14000
448,2,,2,,,,,Frente,,,,,,,,70,70,,Tucuman 700 3° Entre Esmeralda Y Maipu,1000
449,3,40 años,1,,,,,Contrafrente,2,,2700,,,,,58,66,Departamento,Achával Al 200,17000
450,4,70 años,2,1,,,2,Frente,2,,,,Este,3,7,94,118,,Lima 707,23000
451,4,38 años,2,,,1,,Frente,2,,11800,,Este,,1,85,90,,Coronel Diaz 2000,27000
452,2,,1,,,,,Frente,1,,,,,,,40,44,,Pacheco De Melo  2900 6° Entre Billinghurst Y Sanchez De Bustamante,25000
453,2,0 años,1,,,,,,1,,3300,,,,,50,53,Departamento,Reconquista Al 1000,16900
454,4,,1,,,,,,2,,,,,,,90,90,,Rondeau 2300,19800
455,2,,1,,,1,,Frente,1,,,,,,,52,52,,Anchorena Al 1400 3° Entre  Arenales Y Santa Fe Av.,24000
456,2,,1,,,,,,1,,,,,,,38,42,,Aguirre 600,16000
457,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
458,2,,1,,,,,Frente,1,,,,,,,40,43,,Austria Al 2100 8,28000
459,2,,1,,,,,Frente,1,,,,,,,58,62,,"Maure Al 2800, Entre Cramer Y Conesa",30000
460,2,,1,,,,,Frente,1,,,,,,,40,50,,Humahuaca 3500 8° Entre Sanchez De Bustamante Y  Billinghurst,24000
461,3,,2,,4,,,Frente,2,30,,4,,,,65,70,,Demaria 4500,1800
462,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
463,3,,1,,,,,,2,,,,,,,60,60,Departamento,Tte Juan D Perón Al 4200,1100
464,2,,1,,,,,,1,,,,,,,38,38,,San Martin  3800,10900
465,2,,1,,,,,,1,,,3,,,,28,28,,Potosi 3966,900
466,3,0 años,1,,,,,Frente,,,5000,,Este,,,,,,"Formosa  Entre Viel Y Campos, Gaspar",20000
467,3,,2,,,1,,,3,,,,,,,78,85,,Manuel Ugarte 2709,25000
468,2,,1,,,1,,,1,,,,,,,48,82,,Naon 3237,17900
469,1,0 años,1,1,,,5,Contrafrente,1,,,,Este,5,5,23,23,,Carlos A. Lopez 2247,12800
470,3,,2,,,,,,1,,,,,,,65,65,,Peron 2300,17000
471,3,,2,,,,,,2,,,4,,,,55,55,,Charcas 3800,40000
472,2,0 años,2,,,1,1,Contrafrente,1,,,,,,,535,855,,Naon 3237,19800
473,2,,1,,,,,,1,,,,,,,35,35,Departamento,Juncal Al 1800,24000
474,1,25 años,1,,,,4,Contrafrente,1,,,,Norte,3,6,38,40,,Dr. Quirno Costa 1282,12000
475,3,,1,,,,,Frente,2,,,,,,,50,50,,Blanco Encalada Al 2600,30000
476,1,,1,,,,,,,,,,,,,35,35,Departamento,Juncal  Al 1600,28000
477,2,0 años,1,,,,4,Frente,1,,,,Oeste,5,10,43,43,,Parana 433,12000
478,1,,1,,,,,,,,,,,,,28,28,,Luis Maria Campos 1200,11000
479,3,20 años,1,,,,2,Contrafrente,2,,,,Norte,5,9,58,58,,Yerbal 41,14500
480,3,25 años,1,,,,3,Contrafrente,2,,1700,,Este,,7,45,45,Departamento,Corrientes 5943,13500
481,1,,1,,,,,,1,,,,,,,34,34,,Sarmiento 2234,8300
482,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 23,8400
483,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 83,8700
484,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
485,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
486,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
487,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
488,2,,1,,,,,,1,,,,,,,30,30,,Republica De La India 2900,500
489,3,40 años,3,,,,,Contrafrente,2,,8000,,,,,90,268,Departamento,Uruguay Al 1200,45000
490,4,20 años,2,,,1,,Contrafrente,3,,12000,,Este,,1,145,157,,"Godoy Cruz 3000, Piso 1",2800
491,4,40 años,2,,,1,,,2,,5600,,,,1,,,,Castex Al 3400,1300
492,3,0 años,1,,,,,,2,,5000,,,,,85,85,Departamento,Malabia Al 2200,23000
493,3,,1,,,,,Lateral,2,,,,,,,58,61,,"Agüero Al 1200, Entre Paraguay Y Mansilla",38000
494,3,,1,,,,,Frente,2,,,,,,,51,61,,"Beauchef Al 300, Entre Guayaquil Y Formosa",30000
495,2,6 años,1,,,,2,Frente,1,,,,Este,4,5,39,41,,Bonpland 2000,14000
496,2,,2,,,,,Frente,,,,,,,,70,70,,Tucuman 700 3° Entre Esmeralda Y Maipu,1000
497,3,40 años,1,,,,,Contrafrente,2,,2700,,,,,58,66,Departamento,Achával Al 200,17000
498,4,70 años,2,1,,,2,Frente,2,,,,Este,3,7,94,118,,Lima 707,23000
499,4,38 años,2,,,1,,Frente,2,,11800,,Este,,1,85,90,,Coronel Diaz 2000,27000
500,2,,1,,,,,Frente,1,,,,,,,40,44,,Pacheco De Melo  2900 6° Entre Billinghurst Y Sanchez De Bustamante,25000
501,2,0 años,1,,,,,,1,,3300,,,,,50,53,Departamento,Reconquista Al 1000,16900
502,4,,1,,,,,,2,,,,,,,90,90,,Rondeau 2300,19800
503,2,,1,,,1,,Frente,1,,,,,,,52,52,,Anchorena Al 1400 3° Entre  Arenales Y Santa Fe Av.,24000
504,2,,1,,,,,,1,,,,,,,38,42,,Aguirre 600,16000
505,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
506,2,,1,,,,,Frente,1,,,,,,,40,43,,Austria Al 2100 8,28000
507,2,,1,,,,,Frente,1,,,,,,,58,62,,"Maure Al 2800, Entre Cramer Y Conesa",30000
508,2,,1,,,,,Frente,1,,,,,,,40,50,,Humahuaca 3500 8° Entre Sanchez De Bustamante Y  Billinghurst,24000
509,3,,2,,4,,,Frente,2,30,,4,,,,65,70,,Demaria 4500,1800
510,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
511,3,,1,,,,,,2,,,,,,,60,60,Departamento,Tte Juan D Perón Al 4200,1100
512,2,,1,,,,,,1,,,,,,,38,38,,San Martin  3800,10900
513,2,,1,,,,,,1,,,3,,,,28,28,,Potosi 3966,900
514,3,0 años,1,,,,,Frente,,,5000,,Este,,,,,,"Formosa  Entre Viel Y Campos, Gaspar",20000
515,3,,2,,,1,,,3,,,,,,,78,85,,Manuel Ugarte 2709,25000
516,2,,1,,,1,,,1,,,,,,,48,82,,Naon 3237,17900
517,1,0 años,1,1,,,5,Contrafrente,1,,,,Este,5,5,23,23,,Carlos A. Lopez 2247,12800
518,3,,2,,,,,,1,,,,,,,65,65,,Peron 2300,17000
519,3,,2,,,,,,2,,,4,,,,55,55,,Charcas 3800,40000
520,2,0 años,2,,,1,1,Contrafrente,1,,,,,,,535,855,,Naon 3237,19800
521,2,,1,,,,,,1,,,,,,,35,35,Departamento,Juncal Al 1800,24000
522,1,25 años,1,,,,4,Contrafrente,1,,,,Norte,3,6,38,40,,Dr. Quirno Costa 1282,12000
523,3,,1,,,,,Frente,2,,,,,,,50,50,,Blanco Encalada Al 2600,30000
524,1,,1,,,,,,,,,,,,,35,35,Departamento,Juncal  Al 1600,28000
525,2,0 años,1,,,,4,Frente,1,,,,Oeste,5,10,43,43,,Parana 433,12000
526,1,,1,,,,,,,,,,,,,28,28,,Luis Maria Campos 1200,11000
527,3,20 años,1,,,,2,Contrafrente,2,,,,Norte,5,9,58,58,,Yerbal 41,14500
528,3,25 años,1,,,,3,Contrafrente,2,,1700,,Este,,7,45,45,Departamento,Corrientes 5943,13500
529,1,,1,,,,,,1,,,,,,,34,34,,Sarmiento 2234,8300
530,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 23,8400
531,1,20 años,1,,,,3,Contrafrente,,,1700,,Este,,3,25,25,Departamento,Lemos 83,8700
532,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
533,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
534,4,20 años,3,,,1,,Frente,3,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
535,3,20 años,3,,,1,,Frente,2,,12500,,Norte,,1,110,115,,Migueletes Al 1000,55000
536,2,,1,,,,,,1,,,,,,,30,30,,Republica De La India 2900,500
537,3,40 años,3,,,,,Contrafrente,2,,8000,,,,,90,268,Departamento,Uruguay Al 1200,45000
538,4,20 años,2,,,1,,Contrafrente,3,,12000,,Este,,1,145,157,,"Godoy Cruz 3000, Piso 1",2800
539,4,40 años,2,,,1,,,2,,5600,,,,1,,,,Castex Al 3400,1300
540,3,0 años,1,,,,,,2,,5000,,,,,85,85,Departamento,Malabia Al 2200,23000
541,3,,1,,,,,Lateral,2,,,,,,,58,61,,"Agüero Al 1200, Entre Paraguay Y Mansilla",38000
542,3,,1,,,,,Frente,2,,,,,,,51,61,,"Beauchef Al 300, Entre Guayaquil Y Formosa",30000
543,2,6 años,1,,,,2,Frente,1,,,,Este,4,5,39,41,,Bonpland 2000,14000
544,2,,2,,,,,Frente,,,,,,,,70,70,,Tucuman 700 3° Entre Esmeralda Y Maipu,1000
545,3,40 años,1,,,,,Contrafrente,2,,2700,,,,,58,66,Departamento,Achával Al 200,17000
546,4,70 años,2,1,,,2,Frente,2,,,,Este,3,7,94,118,,Lima 707,23000
547,4,38 años,2,,,1,,Frente,2,,11800,,Este,,1,85,90,,Coronel Diaz 2000,27000
548,2,,1,,,,,Frente,1,,,,,,,40,44,,Pacheco De Melo  2900 6° Entre Billinghurst Y Sanchez De Bustamante,25000
549,2,0 años,1,,,,,,1,,3300,,,,,50,53,Departamento,Reconquista Al 1000,16900
550,4,,1,,,,,,2,,,,,,,90,90,,Rondeau 2300,19800
551,2,,1,,,1,,Frente,1,,,,,,,52,52,,Anchorena Al 1400 3° Entre  Arenales Y Santa Fe Av.,24000
552,2,,1,,,,,,1,,,,,,,38,42,,Aguirre 600,16000
553,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
554,2,,1,,,,,Frente,1,,,,,,,40,43,,Austria Al 2100 8,28000
555,2,,1,,,,,Frente,1,,,,,,,58,62,,"Maure Al 2800, Entre Cramer Y Conesa",30000
556,2,,1,,,,,Frente,1,,,,,,,40,50,,Humahuaca 3500 8° Entre Sanchez De Bustamante Y  Billinghurst,24000
557,3,,2,,4,,,Frente,2,30,,4,,,,65,70,,Demaria 4500,1800
558,3,10 años,1,,,,,Frente,2,,,,Oeste,,1,58,75,,Thorne Al 300,20000
559,3,,1,,,,,,2,,,,,,,60,60,Departamento,Tte Juan D Perón Al 4200,1100
560,2,,1,,,,,,1,,,,,,,38,38,,San Martin  3800,10900
561,2,,1,,,,,,1,,,3,,,,28,28,,Potosi 3966,900
562,3,0 años,1,,,,,Frente,,,5000,,Este,,,,,,"Formosa  Entre Viel Y Campos, Gaspar",20000
563,3,,2,,,1,,,3,,,,,,,78,85,,Manuel Ugarte 2709,25000
564,2,,1,,,1,,,1,,,,,,,48,82,,Naon 3237,17900
565,1,0 años,1,1,,,5,Contrafrente,1,,,,Este,5,5,23,23,,Carlos A. Lopez 2247,12800
